"","workerid","tag","response","max","chosen_bin","chosen_min","chosen_max","steps"
"114",14,"movies",122,210,9,120,135,16
"115",14,"laptop",1725,7500,4,1500,2000,500
"116",14,"commute",21,98,4,21,27,7
"117",14,"joke",9,14,10,9,9,1
"118",14,"tv",20,43,7,19,21,3
"119",14,"coffee",142,200,10,140,152,13
"120",14,"marbles",14,14,15,14,14,1
"121",15,"tv",3,43,1,0,3,3
"122",15,"marbles",0,14,1,0,0,1
"123",15,"coffee",86,200,5,80,92,13
"124",15,"watch",182,700,4,150,200,50
"125",15,"laptop",900,7500,2,500,1000,500
"126",15,"commute",27,98,4,21,27,7
"127",15,"joke",11,14,12,11,11,1
"128",15,"movies",120,210,8,105,120,16
"129",16,"tv",0,43,1,0,3,3
"130",16,"commute",38,98,6,35,41,7
"131",16,"movies",122,210,9,120,135,16
"132",16,"marbles",14,14,15,14,14,1
"133",16,"coffee",150,200,10,140,152,13
"134",16,"watch",98,700,2,50,100,50
"135",16,"joke",7,14,8,7,7,1
"136",16,"laptop",1500,7500,3,1000,1500,500
"137",17,"watch",245,700,5,200,250,50
"138",17,"laptop",1650,7500,4,1500,2000,500
"139",17,"commute",25,98,4,21,27,7
"140",17,"joke",13,14,14,13,13,1
"141",17,"movies",97,210,7,90,105,16
"142",17,"marbles",14,14,15,14,14,1
"143",17,"coffee",98,200,6,92,104,13
"144",17,"tv",15,43,5,13,15,3
"145",18,"laptop",675,7500,2,500,1000,500
"146",18,"marbles",14,14,15,14,14,1
"147",18,"joke",14,14,15,14,14,1
"148",18,"movies",99,210,7,90,105,16
"149",18,"tv",25,43,9,25,27,3
"150",18,"coffee",110,200,7,104,116,13
"151",18,"commute",20,98,3,14,20,7
"152",18,"watch",105,700,3,100,150,50
"153",19,"tv",8,43,3,7,9,3
"154",19,"commute",25,98,4,21,27,7
"155",19,"movies",101,210,7,90,105,16
"156",19,"watch",56,700,2,50,100,50
"157",19,"laptop",1050,7500,3,1000,1500,500
"158",19,"joke",13,14,14,13,13,1
"159",19,"marbles",14,14,15,14,14,1
"160",19,"coffee",108,200,7,104,116,13
